Algorithm,Data,MAE_1,MAPE_1,MAE_2,MAPE_2,MAE_3,MAPE_3
SVR,Polkadot,0.6210088133889546,0.03871324565032315,-1.0,-1.0,0.7721565893844845,0.045973170768864674
LassoCV,Polkadot,0.7134144934129297,0.044146540962212905,1.3814686005072077,0.08434972678111616,0.7400335750427843,0.04563541356664464
Linear,Polkadot,0.7865072200561526,0.04845758924513726,0.7504705223372151,0.046344852255496206,0.74458604768287,0.04584838612856872
SVR,Bitcoin,964.5860954580311,0.025099486583633465,-1.0,-1.0,4109.451839135474,0.10414561460496753
LassoCV,Bitcoin,1001.2222540457973,0.02618346548616434,1188.890594217373,0.031044637385564167,917.8307753099325,0.023955532948085955
Linear,Bitcoin,1124.4111149388787,0.02917568971182578,1105.446804436662,0.02871290512639577,1190.323614609095,0.03090395593062143
SVR,Solana,2.2613114357079573,0.024917831881378427,-1.0,-1.0,2.5412064942921417,0.027386397633910382
LassoCV,Solana,3.4787839797524907,0.03735545941154235,3.8172019601044562,0.04121188459158687,3.817968566667081,0.04130487197031855
Linear,Solana,3.5254481552947032,0.037759200579735766,3.420022563397543,0.03679599278508006,4.228491904999008,0.04540278232909737
